"salary","GPA","med_salary_loc"
84.74,3.5,34.33
84.09,3.63,34.27
107.98,3.85,49.11
75.68,2.85,36.69
97.11,3.29,45.56
77.86,3.65,30.81
80.59,2.8,36.06
96.05,3.61,41.1
104.64,3.98,45.22
80.35,3.15,34.52
94.63,3.38,40.28
85.66,3.56,35.78
77.17,3.27,32.85
86.49,3.82,33.66
83.88,3.58,35.48
87.27,3.63,32.17
72.31,2.86,30.48
83.61,3.59,30.99
73.05,2.81,32.59
77.27,3.29,31.57
73.72,2.7,31.77
78.85,3.02,30.81
101.71,3.36,45.62
76.58,2.63,35.07
91.59,3.99,35.27
85.48,2.74,40.32
69.75,2.55,30.59
86.01,3.38,36.47
82.22,3.57,33.95
82.24,3.27,33.68
79.28,3,33.22
88.28,3.73,37.02
89.37,3.22,38.74
88.45,2.52,43.1
90.59,3.36,40.86
73.58,2.9,30.2
85.92,3.42,37.98
82.9,3.67,32.42
79.71,3.64,30.52
89.84,3.46,39.17
80.89,3.16,33.54
90.2,3.65,37.29
91.16,3.99,36.33
76.01,2.66,31.96
86.98,2.72,39.22
91.11,3.72,36.93
82.29,3.62,32.83
69.32,2.61,32.21
94.29,3.82,38.43
88.04,3.36,41.46
81.63,2.77,36.87
95.89,2.96,48.3
77.43,3.02,32.93
86.77,3.43,32.84
83.61,3.65,32
83.88,3.69,31.93
83.55,3.72,32.02
85.38,3.13,38.92
105.47,3.24,51.01
90.36,3.65,35.76
118.39,4,56.81
79.38,3.39,31.18
80.6,3.2,33.74
89.09,3.97,33.79
74.16,2.91,32.33
71.85,2.62,33.02
86.48,2.61,39.5
87.68,3.94,33.1
91.1,2.63,44.88
83.08,2.6,40.99
80.18,3.23,31.12
83.04,2.83,36.51
79.57,2.89,36.59
68.54,2.69,31.51
95.87,4,41.01
92.85,3.81,36.21
103.74,3.78,47.06
73.96,3.05,30.5
119.95,3.65,59.32
83.86,3.8,30.75
72.84,2.73,33.03
76.93,2.75,32.82
88.78,3.78,33.04
79.46,2.76,37.27
97.52,3.4,42.64
81.92,3.32,32.69
73,2.93,31.57
81.19,3.65,31.56
97.89,3.96,41.29
73.26,2.76,31.47
85.23,2.63,39.24
82.6,3.22,35.85
77.42,2.73,35.56
82.68,3.73,32.71
85.21,2.51,42.07
110.29,3.11,57.22
75.96,2.62,34.22
143.92,2.91,84.25
82.97,3.28,31.53
73.78,2.75,33
77.5,3.23,32.24
79.82,3.32,30.89
75.93,2.81,32.5
90.38,3.3,41.1
87.13,2.92,40.36
83.43,2.93,40.09
89.27,3.77,34.62
80.25,3.49,34.08
87.54,3.94,32.93
85.61,2.66,40.1
88.39,2.87,42.51
82.55,2.57,38.22
71.43,2.66,30.93
84.9,3.87,31.93
80.6,3.47,31.05
79.15,3.57,30.65
76.17,3.06,30.96
91.37,3.98,35.58
78.62,2.85,33.24
80.19,2.98,34.34
79.94,3.69,30.74
83.33,3.47,32.93
78.08,3.25,30.49
92.74,2.86,43.74
76.69,2.59,35.94
87.29,2.75,41.17
84.6,3.82,32.48
76.96,2.85,34.18
75.98,2.56,38.71
74.69,3.05,30.34
84.37,2.61,39.81
77.72,3.12,30.8
102.04,3.96,44.79
87.39,3.19,38.4
88.33,3.74,33.14
88.23,2.72,41.67
87.22,3.89,32.76
86.58,3.34,37.21
93.09,2.94,42.6
89,3.81,35.11
88.67,3.76,32.47
86.17,3.24,36.38
79.9,3.19,33.57
94.47,2.68,46.47
91.22,3.97,34.95
75.61,2.56,33.51
93.43,3.83,38.09
119.66,3.39,60.73
77.95,3.11,33.77
79.61,3.4,30.54
