"replication","weight","speed","surface_roughness"
1,0.025,50,510.35304843227
2,0.025,50,507.731961894603
3,0.025,50,514.897264696279
1,0.05,50,515.46279727049
2,0.05,50,510.388391434197
3,0.05,50,504.43399101085
1,0.075,50,506.019133380523
2,0.075,50,512.282956227842
3,0.075,50,516.635328507965
1,0.1,50,505.317617998088
2,0.1,50,516.5131771563
3,0.1,50,511.470593862334
1,0.125,50,506.820081972644
2,0.125,50,514.276210721578
3,0.125,50,516.507594016233
1,0.15,50,503.040300380928
2,0.15,50,501.835007272967
3,0.15,50,515.898878274615
1,0.175,50,495.425515412777
2,0.175,50,492.635264267163
3,0.175,50,494.037558482785
1,0.2,50,488.885594396041
2,0.2,50,505.278206090227
3,0.2,50,495.980745116593
1,0.225,50,497.019191558276
2,0.225,50,506.464641963033
3,0.225,50,499.964583372907
1,0.25,50,479.735945462984
2,0.25,50,481.998475597344
3,0.25,50,496.17332356083
1,0.275,50,477.805160794201
2,0.275,50,484.031114081556
3,0.275,50,507.126614496638
1,0.3,50,472.813632187643
2,0.3,50,473.56164934474
3,0.3,50,494.445567682669
1,0.325,50,472.674175626703
2,0.325,50,496.588330664352
3,0.325,50,478.939954262643
1,0.35,50,482.187781067249
2,0.35,50,474.802589064374
3,0.35,50,475.450233537607
1,0.375,50,458.311700086419
2,0.375,50,479.93744860895
3,0.375,50,468.707524898545
1,0.4,50,479.673532627112
2,0.4,50,481.11636423328
3,0.4,50,474.48738705347
1,0.425,50,468.351606769504
2,0.425,50,473.722171017637
3,0.425,50,468.911113623435
1,0.45,50,471.433366334786
2,0.45,50,475.184798004602
3,0.45,50,476.872187962539
1,0.475,50,464.105206055436
2,0.475,50,456.28552168902
3,0.475,50,452.371229711277
1,0.5,50,457.08920670792
2,0.5,50,455.011290993299
3,0.5,50,473.639484418198
