"replication","weight","speed","cspeed","surface_roughness"
1,0.025,1,"low",619.975591311578
2,0.025,1,"low",610.259196309259
3,0.025,1,"low",598.484117426379
1,0.05,1,"low",620.595005732521
2,0.05,1,"low",610.538510093697
3,0.05,1,"low",604.259012469918
1,0.075,1,"low",616.004120258379
2,0.075,1,"low",604.157123204365
3,0.075,1,"low",596.689527490999
1,0.1,1,"low",596.078099848889
2,0.1,1,"low",612.316928079237
3,0.1,1,"low",606.226862113547
1,0.125,1,"low",611.166526568777
2,0.125,1,"low",603.537434841559
3,0.125,1,"low",607.293013743437
1,0.15,1,"low",598.746044148914
2,0.15,1,"low",598.547886217021
3,0.15,1,"low",597.628279603156
1,0.175,1,"low",598.346406157078
2,0.175,1,"low",600.821105548558
3,0.175,1,"low",604.455472756396
1,0.2,1,"low",589.728598486835
2,0.2,1,"low",585.998827273448
3,0.2,1,"low",589.766653684753
1,0.225,1,"low",575.064154264984
2,0.225,1,"low",609.33745795018
3,0.225,1,"low",603.646888577673
1,0.25,1,"low",595.490672876735
2,0.25,1,"low",580.322148315378
3,0.25,1,"low",591.977601651319
1,0.275,1,"low",582.873517860317
2,0.275,1,"low",572.056229565699
3,0.275,1,"low",590.292232457629
1,0.3,1,"low",587.067440707331
2,0.3,1,"low",575.302459819941
3,0.3,1,"low",586.308270291949
1,0.325,1,"low",554.720102808189
2,0.325,1,"low",580.00924647428
3,0.325,1,"low",567.904852949946
1,0.35,1,"low",565.951084417685
2,0.35,1,"low",574.658092437148
3,0.35,1,"low",564.929654095839
1,0.375,1,"low",563.37978517008
2,0.375,1,"low",561.022888605823
3,0.375,1,"low",574.436709643537
1,0.4,1,"low",571.154888234919
2,0.4,1,"low",579.590159330184
3,0.4,1,"low",554.345335642682
1,0.425,1,"low",553.895716078344
2,0.425,1,"low",567.022064838866
3,0.425,1,"low",559.290269037513
1,0.45,1,"low",556.448198139996
2,0.45,1,"low",562.201200135916
3,0.45,1,"low",553.991945109379
1,0.475,1,"low",547.163371374945
2,0.475,1,"low",561.579326484731
3,0.475,1,"low",562.340113286578
1,0.5,1,"low",550.339563366496
2,0.5,1,"low",552.723271381038
3,0.5,1,"low",559.846014916393
1,0.025,2,"medium",516.289737129116
2,0.025,2,"medium",505.781861682656
3,0.025,2,"medium",518.632789240531
1,0.05,2,"medium",516.813367650103
2,0.05,2,"medium",506.14705370583
3,0.05,2,"medium",510.774024473625
1,0.075,2,"medium",523.650778210208
2,0.075,2,"medium",520.520586341812
3,0.075,2,"medium",515.34425080612
1,0.1,2,"medium",504.995156762555
2,0.1,2,"medium",495.237163043602
3,0.1,2,"medium",491.071904910725
1,0.125,2,"medium",513.325031428779
2,0.125,2,"medium",516.693540929579
3,0.125,2,"medium",496.204391723017
1,0.15,2,"medium",502.105082969822
2,0.15,2,"medium",487.596795696433
3,0.15,2,"medium",510.018718654057
1,0.175,2,"medium",499.169789870819
2,0.175,2,"medium",501.223386198624
3,0.175,2,"medium",488.606539107536
1,0.2,2,"medium",500.849124565308
2,0.2,2,"medium",493.650207374547
3,0.2,2,"medium",500.510472318014
1,0.225,2,"medium",492.61487903794
2,0.225,2,"medium",497.697067376556
3,0.225,2,"medium",491.504111250392
1,0.25,2,"medium",494.355713695404
2,0.25,2,"medium",485.041162030119
3,0.25,2,"medium",491.442159824516
1,0.275,2,"medium",483.470593281606
2,0.275,2,"medium",482.425601483831
3,0.275,2,"medium",502.082699691609
1,0.3,2,"medium",489.332982078642
2,0.3,2,"medium",476.906134579589
3,0.3,2,"medium",482.293461719441
1,0.325,2,"medium",486.489229071494
2,0.325,2,"medium",489.481898647705
3,0.325,2,"medium",491.01763044612
1,0.35,2,"medium",481.625587949367
2,0.35,2,"medium",474.950370303775
3,0.35,2,"medium",481.018171981283
1,0.375,2,"medium",472.695262918146
2,0.375,2,"medium",473.239781056656
3,0.375,2,"medium",468.750940597265
1,0.4,2,"medium",477.237224403893
2,0.4,2,"medium",462.591533088884
3,0.4,2,"medium",476.044480096175
1,0.425,2,"medium",460.785632019592
2,0.425,2,"medium",483.901551047051
3,0.425,2,"medium",461.238653428691
1,0.45,2,"medium",462.578564790028
2,0.45,2,"medium",463.318700624954
3,0.45,2,"medium",466.811052167534
1,0.475,2,"medium",456.804365764283
2,0.475,2,"medium",460.875341029885
3,0.475,2,"medium",459.585577711688
1,0.5,2,"medium",462.524528093172
2,0.5,2,"medium",465.916551417863
3,0.5,2,"medium",459.839403685014
1,0.025,3,"high",139.220000740223
2,0.025,3,"high",129.89668577366
3,0.025,3,"high",136.834393690154
1,0.05,3,"high",144.825329596904
2,0.05,3,"high",140.450575836334
3,0.05,3,"high",146.031823516134
1,0.075,3,"high",138.295078690398
2,0.075,3,"high",120.151659640086
3,0.075,3,"high",121.373961531397
1,0.1,3,"high",141.060531286993
2,0.1,3,"high",122.56696452711
3,0.1,3,"high",117.895733906995
1,0.125,3,"high",118.959710237129
2,0.125,3,"high",124.400881022752
3,0.125,3,"high",120.83660690896
1,0.15,3,"high",122.405550675555
2,0.15,3,"high",108.109434224873
3,0.15,3,"high",122.953118998599
1,0.175,3,"high",122.268353882829
2,0.175,3,"high",125.508876542772
3,0.175,3,"high",124.68330413687
1,0.2,3,"high",125.397985873069
2,0.2,3,"high",104.277077761354
3,0.2,3,"high",124.31576819184
1,0.225,3,"high",122.81629196033
2,0.225,3,"high",111.664744695582
3,0.225,3,"high",111.844158023432
1,0.25,3,"high",111.635520752274
2,0.25,3,"high",99.5133460725935
3,0.25,3,"high",116.464424474563
1,0.275,3,"high",99.3111843884219
2,0.275,3,"high",105.616862284414
3,0.275,3,"high",102.460028535659
1,0.3,3,"high",109.800046091009
2,0.3,3,"high",102.907154224135
3,0.3,3,"high",86.7126687953788
1,0.325,3,"high",98.5303056116024
2,0.325,3,"high",110.705051235781
3,0.325,3,"high",101.768672875299
1,0.35,3,"high",98.5555649816705
2,0.35,3,"high",102.832236755444
3,0.35,3,"high",96.3713866134657
1,0.375,3,"high",95.6461737477277
2,0.375,3,"high",99.3221858626982
3,0.375,3,"high",95.8396602680827
1,0.4,3,"high",83.381119450758
2,0.4,3,"high",86.8557814520978
3,0.4,3,"high",81.5460180897099
1,0.425,3,"high",89.0494458902541
2,0.425,3,"high",95.2185218897668
3,0.425,3,"high",74.719418901743
1,0.45,3,"high",85.3289451382151
2,0.45,3,"high",94.0843984764222
3,0.45,3,"high",76.9472207061318
1,0.475,3,"high",86.8648746177704
