"replication","weight","speed","cspeed","surface_roughness"
1,0.025,1,"low",602.074602302315
2,0.025,1,"low",604.918527079686
3,0.025,1,"low",607.945628159542
1,0.05,1,"low",621.920595844225
2,0.05,1,"low",610.603011088935
3,0.05,1,"low",611.469697115495
1,0.075,1,"low",611.405373324281
2,0.075,1,"low",607.978424003755
3,0.075,1,"low",595.77106219988
1,0.1,1,"low",601.235402493197
2,0.1,1,"low",603.295445694405
3,0.1,1,"low",594.83423693877
1,0.125,1,"low",601.839109449853
2,0.125,1,"low",592.980838273773
3,0.125,1,"low",616.599988727072
1,0.15,1,"low",614.926871654162
2,0.15,1,"low",585.829016515825
3,0.15,1,"low",594.055542138828
1,0.175,1,"low",600.404801578808
2,0.175,1,"low",601.457401421559
3,0.175,1,"low",603.464037914992
1,0.2,1,"low",591.044933109403
2,0.2,1,"low",578.624021499255
3,0.2,1,"low",582.667424523166
1,0.225,1,"low",596.590849912999
2,0.225,1,"low",587.517458051983
3,0.225,1,"low",602.637348545529
1,0.25,1,"low",589.632014437679
2,0.25,1,"low",597.565282646776
3,0.25,1,"low",589.772264290492
1,0.275,1,"low",594.124894476031
2,0.275,1,"low",584.602123359167
3,0.275,1,"low",565.621990967796
1,0.3,1,"low",593.059066496673
2,0.3,1,"low",581.177484060601
3,0.3,1,"low",567.212157906159
1,0.325,1,"low",572.633313705553
2,0.325,1,"low",565.966991857994
3,0.325,1,"low",581.577206325439
1,0.35,1,"low",583.518974559687
2,0.35,1,"low",570.324781356714
3,0.35,1,"low",576.626612119334
1,0.375,1,"low",561.961597754985
2,0.375,1,"low",581.677752715145
3,0.375,1,"low",565.043271985891
1,0.4,1,"low",548.034652048997
2,0.4,1,"low",583.309511124903
3,0.4,1,"low",568.50412187931
1,0.425,1,"low",553.651014454864
2,0.425,1,"low",565.21161984029
3,0.425,1,"low",584.255195758894
1,0.45,1,"low",557.164700038752
2,0.45,1,"low",551.25187547611
3,0.45,1,"low",570.85088905239
1,0.475,1,"low",546.46963632197
2,0.475,1,"low",572.306983615031
3,0.475,1,"low",565.559931543646
1,0.5,1,"low",551.529009308206
2,0.5,1,"low",566.920141748442
3,0.5,1,"low",545.332425930567
1,0.025,2,"medium",515.196264779096
2,0.025,2,"medium",518.231444840347
3,0.025,2,"medium",503.688425499292
1,0.05,2,"medium",514.902471932864
2,0.05,2,"medium",524.722358471125
3,0.05,2,"medium",506.712634844134
