"replication","weight","speed","surface_roughness"
1,0.025,50,492.660343791061
2,0.025,50,514.027026256501
3,0.025,50,520.830127978933
1,0.05,50,512.486880941023
2,0.05,50,516.211706116826
3,0.05,50,521.438010304671
1,0.075,50,520.838933294755
2,0.075,50,510.405245093057
3,0.075,50,529.328562471514
1,0.1,50,514.557407048066
2,0.1,50,500.155510497295
3,0.1,50,518.282529254949
1,0.125,50,511.249519748925
2,0.125,50,508.749766060182
3,0.125,50,501.322963966442
1,0.15,50,500.128933988305
2,0.15,50,498.59454692378
3,0.15,50,504.775419793427
1,0.175,50,509.451093478178
2,0.175,50,506.969946312959
3,0.175,50,487.953664783084
1,0.2,50,511.212714660805
2,0.2,50,506.280630793561
3,0.2,50,500.884095400864
1,0.225,50,472.367550486281
2,0.225,50,497.090429621702
3,0.225,50,484.412017137613
1,0.25,50,483.48779569805
2,0.25,50,492.756063124194
3,0.25,50,494.388226708802
1,0.275,50,484.32807120924
2,0.275,50,498.321253444256
3,0.275,50,478.090644565242
1,0.3,50,492.732709884076
2,0.3,50,490.365791158188
3,0.3,50,479.200816503042
1,0.325,50,473.897444713065
2,0.325,50,476.606723322318
3,0.325,50,490.340465489014
1,0.35,50,484.428748397248
2,0.35,50,462.597593254714
3,0.35,50,486.589460816483
1,0.375,50,463.606509747812
2,0.375,50,487.760125593422
3,0.375,50,473.56893139985
1,0.4,50,460.459976828696
2,0.4,50,467.83294238685
3,0.4,50,482.834720478846
1,0.425,50,469.51450486927
2,0.425,50,471.1675335523
3,0.425,50,455.456907559865
1,0.45,50,468.769791873888
2,0.45,50,469.150548751491
3,0.45,50,466.276702127291
1,0.475,50,460.500294681325
2,0.475,50,465.960403205651
3,0.475,50,471.431274032246
1,0.5,50,446.191023657382
2,0.5,50,453.631147755337
3,0.5,50,466.390643962935
