"replication","weight","speed","surface_roughness"
1,0.025,25,614.152625319102
2,0.025,25,609.960178000073
3,0.025,25,619.389973725025
1,0.05,25,610.245008913637
2,0.05,25,603.443555112685
3,0.05,25,607.54633722446
1,0.075,25,607.490684037812
2,0.075,25,612.514488215966
3,0.075,25,618.492568532151
1,0.1,25,608.21326590282
2,0.1,25,616.937024179145
3,0.1,25,611.404772685961
1,0.125,25,600.21616723143
2,0.125,25,606.345492442037
3,0.125,25,599.432478094927
1,0.15,25,597.645371969327
2,0.15,25,595.028558848472
3,0.15,25,612.566805674512
1,0.175,25,596.212117737946
2,0.175,25,593.800047921456
3,0.175,25,594.132630491787
1,0.2,25,586.432461375605
2,0.2,25,596.664156680972
3,0.2,25,585.206371502298
1,0.225,25,578.933199358589
2,0.225,25,588.719102259403
3,0.225,25,614.140401700477
1,0.25,25,582.21453638757
2,0.25,25,576.921519271361
3,0.25,25,587.814092992224
1,0.275,25,568.353056721648
2,0.275,25,576.831808246218
3,0.275,25,587.324850656629
1,0.3,25,566.076329917612
2,0.3,25,577.181910462354
3,0.3,25,590.703485842276
1,0.325,25,572.969932856375
2,0.325,25,571.308152061035
3,0.325,25,570.558325948495
1,0.35,25,573.031306037298
2,0.35,25,572.883866521
3,0.35,25,575.475287210716
1,0.375,25,570.345832674507
2,0.375,25,566.879823012342
3,0.375,25,573.016707983425
1,0.4,25,562.684854564675
2,0.4,25,561.944417874908
3,0.4,25,572.146502589658
1,0.425,25,576.964721365891
2,0.425,25,559.485508945237
3,0.425,25,569.174151318841
1,0.45,25,576.445295588252
2,0.45,25,561.461256719207
3,0.45,25,561.057622770119
1,0.475,25,550.551015842481
2,0.475,25,562.376709507693
3,0.475,25,554.396519855382
1,0.5,25,568.652467237526
2,0.5,25,558.698890006744
3,0.5,25,554.718185408947
1,0.025,30,592.91563282373
2,0.025,30,589.074829888046
3,0.025,30,594.001096071054
1,0.05,30,596.064794000317
2,0.05,30,598.214593923502
3,0.05,30,580.57721136881
1,0.075,30,600.524333116738
2,0.075,30,591.858455922495
3,0.075,30,605.753596132582
1,0.1,30,596.70022298366
2,0.1,30,591.72233304657
3,0.1,30,592.92786996628
1,0.125,30,586.774961730609
2,0.125,30,588.03793906998
3,0.125,30,597.238798978964
1,0.15,30,581.91807634004
2,0.15,30,595.202448349222
3,0.15,30,574.051270580433
1,0.175,30,577.686857872077
2,0.175,30,587.392458956616
3,0.175,30,575.70138270413
1,0.2,30,585.746174284287
2,0.2,30,579.330382175694
3,0.2,30,584.566216160958
1,0.225,30,578.957124771721
2,0.225,30,569.929944778968
3,0.225,30,586.361377958402
1,0.25,30,558.655067124985
2,0.25,30,574.299108956303
3,0.25,30,562.715011775988
1,0.275,30,567.987427989002
2,0.275,30,582.72144664712
3,0.275,30,575.306125737093
1,0.3,30,562.539288695677
2,0.3,30,555.488911428441
3,0.3,30,563.81357189973
1,0.325,30,559.709039055411
2,0.325,30,559.422017843792
3,0.325,30,554.230600890111
1,0.35,30,561.67528364735
2,0.35,30,562.195234444132
3,0.35,30,561.481532864041
1,0.375,30,557.442407216782
2,0.375,30,568.184255472716
3,0.375,30,573.578637224662
1,0.4,30,555.479320785682
2,0.4,30,559.897431113315
3,0.4,30,550.520316678693
1,0.425,30,531.89877546765
2,0.425,30,538.938813285846
3,0.425,30,548.08073699713
1,0.45,30,542.038934786795
2,0.45,30,549.645638580047
3,0.45,30,538.938744501833
1,0.475,30,545.277783588645
2,0.475,30,529.489518566341
3,0.475,30,550.239805394216
1,0.5,30,548.87205461148
2,0.5,30,529.694138228056
3,0.5,30,524.695539610818
1,0.025,35,573.923174827708
2,0.025,35,580.014922314517
3,0.025,35,578.462108423308
1,0.05,35,575.068689015929
2,0.05,35,577.702469838685
3,0.05,35,576.389731484686
1,0.075,35,571.395527491942
2,0.075,35,581.192945040304
3,0.075,35,575.70701162507
1,0.1,35,582.588675242993
2,0.1,35,566.480595484672
3,0.1,35,567.62877990412
1,0.125,35,570.069199613831
2,0.125,35,562.037006341743
3,0.125,35,574.949824732697
1,0.15,35,572.027736097926
2,0.15,35,575.207867978525
3,0.15,35,570.37228377023
1,0.175,35,544.859828315389
2,0.175,35,559.447575083679
3,0.175,35,564.322562850672
1,0.2,35,559.775322608248
2,0.2,35,541.324386727013
3,0.2,35,567.728290213169
1,0.225,35,547.455191694669
2,0.225,35,548.935647051025
3,0.225,35,550.752801272009
1,0.25,35,548.251884799495
2,0.25,35,570.423045366614
3,0.25,35,560.844873901751
1,0.275,35,560.292499107103
2,0.275,35,560.751521538873
3,0.275,35,567.046988554212
1,0.3,35,538.370617831629
2,0.3,35,537.80348572416
3,0.3,35,551.05009623813
1,0.325,35,543.101481353244
2,0.325,35,548.562230956148
3,0.325,35,539.611044529628
1,0.35,35,539.021003010419
2,0.35,35,539.300178551421
3,0.35,35,525.776557775679
1,0.375,35,538.956437778076
2,0.375,35,525.711560522179
3,0.375,35,545.723585340254
1,0.4,35,530.956993085975
2,0.4,35,546.874668506941
3,0.4,35,534.192099123287
1,0.425,35,553.165431041057
2,0.425,35,540.989909992751
3,0.425,35,527.732905314636
1,0.45,35,531.010761159577
2,0.45,35,533.838059516237
3,0.45,35,548.290538668006
1,0.475,35,529.211605475419
2,0.475,35,538.68605795542
3,0.475,35,520.451903655432
1,0.5,35,534.48556202385
2,0.5,35,524.540492034067
3,0.5,35,529.794512563081
1,0.025,40,555.434471742957
2,0.025,40,548.498748101305
3,0.025,40,563.575277982603
1,0.05,40,565.548542141559
2,0.05,40,564.028367520454
3,0.05,40,563.408583473776
1,0.075,40,544.909542682785
2,0.075,40,546.418697504897
3,0.075,40,553.679668870499
1,0.1,40,552.315265607685
2,0.1,40,557.539513926649
3,0.1,40,560.848739775069
1,0.125,40,556.891041288389
2,0.125,40,552.990198783328
3,0.125,40,533.65340360351
1,0.15,40,551.014582649575
2,0.15,40,551.411926025161
3,0.15,40,555.958562923641
1,0.175,40,543.72811659662
2,0.175,40,546.366983918236
3,0.175,40,546.840416511842
1,0.2,40,541.496186371918
2,0.2,40,558.501614572481
3,0.2,40,536.929921017503
1,0.225,40,515.650054968031
2,0.225,40,533.461658149994
3,0.225,40,541.079823251653
1,0.25,40,543.591484694091
2,0.25,40,528.688203563637
